trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,area_error,area_error_abs,d,dt,reproduced_period,temporal_error
0,718.3389999999999,1943.05,333,0,0,0,1,0,1,vft_matiasherrera,0.0001258837297380376,-0.00012597316372789177,0.0823631194108585,2.442949127,1224.711,-891.711
1,506.89599999999996,1620.8,333,0,0,0,1,0,1,vft_matiasherrera,0.00010474327610332149,-0.00010474398660821716,0.08041157818837821,2.120690154,1113.904,-780.904
2,636.867,1757.37,333,0,0,0,1,0,1,vft_matiasherrera,0.00018598813367249025,-0.00018599957309773496,0.08155453733148896,2.257250243,1120.503,-787.5029999999999
3,587.382,1506.94,333,0,0,0,1,0,1,vft_matiasherrera,7.229842730045144e-05,-7.579681657857141e-05,0.07879029542345499,2.006830442,919.5580000000001,-586.5580000000001
4,460.907,1301.45,333,0,0,0,1,0,1,vft_matiasherrera,2.3628472973943226e-05,-2.6720158005292374e-05,0.08064374332146723,1.8013364749999998,840.5430000000001,-507.5430000000001
5,596.381,1591.14,333,0,0,0,1,0,1,vft_matiasherrera,4.2414880799267646e-05,-4.241494104586231e-05,0.07907837716590364,2.0911499790000003,994.7590000000001,-661.7590000000001
6,520.64,1259.47,333,0,0,0,1,0,1,vft_matiasherrera,3.563717658188491e-05,-3.563662172002006e-05,0.07721322817979845,1.7593718809999999,738.83,-405.83000000000004
7,569.452,1320.43,333,0,0,0,1,0,1,vft_matiasherrera,0.00013139881545555767,-0.00013156261435710355,0.078468175718271,1.820326124,750.9780000000001,-417.97800000000007
8,489.399,1257.48,333,0,0,0,1,0,1,vft_matiasherrera,4.826481014320454e-05,-4.833407910105455e-05,0.07815798576272387,1.7573793500000001,768.081,-435.081
9,617.119,1467.44,333,0,0,0,1,0,1,vft_matiasherrera,-4.8203896410537324e-05,-4.9684687952020784e-05,0.07891216991998093,1.967320156,850.321,-517.321
10,555.869,1322.4,333,0,0,0,1,0,1,vft_matiasherrera,0.0001040191867459371,-0.00010400228733918822,0.08233906883696746,1.8222798789999999,766.5310000000001,-433.53100000000006
11,622.064,1388.9,333,0,0,0,1,0,1,vft_matiasherrera,-2.8351570279206867e-05,-3.9733862778275724e-05,0.08224419748691907,1.888778889,766.8360000000001,-433.8360000000001
12,498.89599999999996,1342.96,333,0,0,0,1,0,1,vft_matiasherrera,8.69857450292973e-05,-8.698466361280428e-05,0.07614078258915646,1.842840208,844.0640000000001,-511.0640000000001
13,584.619,1337.96,333,0,0,0,1,0,1,vft_matiasherrera,0.00010073288377856401,-0.00010393316706037509,0.08269664851063788,1.8378603759999999,753.341,-420.341
14,560.884,1284.46,333,0,0,0,1,0,1,vft_matiasherrera,-2.5721472280383817e-05,-4.6499418743493076e-05,0.08192506744445799,1.784380223,723.576,-390.576
15,531.891,1261.25,333,0,0,0,1,0,1,vft_matiasherrera,-5.81844259782727e-05,-6.179532603734666e-05,0.07932183641726297,1.7611401720000002,729.359,-396.35900000000004
